Observateur,Nom scientifique,Y,X,Altitude
Enna,Aiolopus strepens,43.659962,3.882843,87.018341064453125
Enna,Sympecma fusca,43.660467,3.882113,72.934783935546875
Enna,Coccinella septempunctata,43.660467,3.882113,72.934783935546875
Enna,Glomeris annulata,43.660467,3.882113,72.934783935546875
Enna,Cicindela campestris,43.660467,3.882113,72.934783935546875
Enna,Tropinota squalida,43.660467,3.882113,72.934783935546875
Enna,Lachnaia cylindrica,43.660467,3.882113,72.934783935546875
Enna,Osmia cornuta,43.660467,3.882113,72.934783935546875
Enna,Philaeus chrysops,43.660467,3.882113,72.934783935546875
Enna,Peleteria meridionalis,43.660467,3.882113,72.934783935546875
Enna,Deraeocoris punctulatus,43.660467,3.882113,72.934783935546875
Enna,Coreus marginatus,43.633853,3.860481,53.157508850097656
Enna,Oxycarenus lavaterae,43.634271,3.860818,53.34428787231445
Enna,Tricholepisma aurea,43.633335,3.860683,51.120704650878906
Enna,Episyrphus balteatus,43.633079,3.860929,50.83385467529297
Enna,Messor barbarus,43.633335,3.860683,51.120704650878906
Enna,Porcellio spinicornis,43.633335,3.860683,51.120704650878906
Enna,Gonepteryx cleopatra,43.814933,3.854827,305.269287109375
Enna,Libythea celtis,43.863892,3.822194,307.37237548828125
Enna,Uloborus walckenaerius,43.863882,3.821668,306.84771728515625
Enna,Piezodorus lituratus,43.862127,3.817423,293.37030029296875
Enna,Tetrix depressa,43.862127,3.817423,293.37030029296875
Enna,Cicindela maroccana,43.862127,3.817423,293.37030029296875
Enna,Lampyris noctiluca,43.861114,3.81575,292.1205749511719
Enna,Picromerus nigridens,43.862127,3.817423,293.37030029296875
Enna,Lasiocampa trifolii,43.863882,3.821668,306.84771728515625
Enna,Watsonalla uncinula,43.862127,3.817423,293.37030029296875
Enna,Geotrupes stercorarius,42.835936,0.946234,1056.5849609375
Enna,Celastrina argiolus,42.875498,0.951158,762.53411865234375
Enna,Entomobrya albocincta,42.875171,0.951649,754.79248046875
Enna,Halyzia sedecimguttata,42.875176,0.950843,764.27752685546875
Enna,Forficula auricularia,42.82302,0.921501,1189.1322021484375
Enna,Chrysolina marginata,12.82302,0.921501,NA
